 p |              x1              x2              x3              x4 |            fobj | iters
20 |        0.177845        1.647280       -2.786123        0.959402 |        0.000320 |    26
21 |        0.599232        0.859455       -2.349286        0.885326 |        0.000769 |    28
22 |        0.336423        1.438358       -2.710158        0.953799 |        0.000439 |    25
23 |       -0.002205        1.967058       -2.957206        0.988264 |        0.000307 |    51
24 |        0.048486        1.876278       -2.910982        0.981896 |        0.000218 |    42
25 |        0.112287        1.783708       -2.869060        0.975336 |        0.000505 |    53
26 |        0.013503        1.980587       -2.989683        0.998228 |        0.000056 |    30
27 |        0.202964        1.622195       -2.794812        0.965915 |        0.000920 |    47
28 |        0.101862        1.827399       -2.915403        0.986732 |        0.000510 |    45
29 |        0.166322        1.704189       -2.852257        0.977441 |        0.000568 |    44
30 |        0.003321        1.978615       -2.994399        1.000442 |        0.000140 |    39
31 |        0.004777        1.992948       -3.000509        1.000182 |        0.000169 |    47
32 |        0.004211        1.988133       -3.004704        1.002985 |        0.000218 |    60
33 |        0.007278        2.007445       -3.014537        1.003632 |        0.000112 |    91
34 |        8.633580       -9.214060        0.137985        0.870816 |        2.611926 |   120
35 |       -0.007846        1.989086       -2.985262        0.997212 |        0.000238 |    88
36 |        6.417817        4.000009       -9.417792        2.601991 |        6.521361 |   236
37 |        7.117014        2.070701       -8.729178        2.592120 |        6.866961 |   264
38 |        6.913548        1.688017       -8.316893        2.476918 |        8.048282 |   218
39 |        7.163759        4.197216      -10.000000        2.727205 |        8.395188 |   364
40 |        8.521145        4.822173      -10.000000        2.517020 |       13.358829 |   262
41 |        5.985559        2.077878       -8.494092        2.525965 |        9.595297 |   279
42 |        8.064217        3.773740      -10.000000        2.674400 |       13.605858 |   269
43 |        6.246820        2.081303       -8.733970        2.592587 |       10.451398 |   231
