 p |              x1              x2              x3              x4 |            fobj | iters
20 |        0.003750        1.986271       -3.000092        1.000955 |        0.000073 |    31
21 |       -0.037898        1.960891       -2.932129        0.981659 |        0.000344 |    23
22 |        0.537177        1.221969       -2.646850        0.949137 |        0.000372 |    35
23 |       -0.040270        1.920173       -2.913452        0.982067 |        0.000575 |    31
24 |        0.310509        1.520551       -2.770739        0.965548 |        0.000621 |    50
25 |        0.222721        1.550396       -2.733142        0.952034 |        0.000621 |    44
26 |        0.249657        1.496938       -2.705699        0.948304 |        0.000767 |    51
27 |       -0.007108        1.942984       -2.925362        0.981100 |        0.000831 |    47
28 |        0.029046        1.979899       -3.018199        1.008149 |        0.000394 |    54
29 |        0.021790        1.968526       -2.986348        0.997864 |        0.000177 |    72
30 |        0.012833        2.009825       -3.009644        1.001496 |        0.000152 |    31
31 |        0.020354        1.989748       -3.018162        1.006230 |        0.000278 |    57
32 |        0.027558        1.998081       -3.019215        1.004760 |        0.000319 |    42
33 |       -0.014386        1.991742       -2.981186        0.995261 |        0.000140 |    33
34 |        0.011959        2.005392       -3.016693        1.004484 |        0.000162 |    42
35 |        0.001777        1.996781       -2.995560        0.998931 |        0.000155 |    53
36 |        9.704971       -8.972679       -1.052513        1.184091 |        4.650820 |   141
37 |        7.505613        0.903528       -7.726603        2.350757 |        6.772779 |   200
38 |        8.293788        4.302375      -10.000000        2.587170 |       13.482182 |   192
39 |        6.046094        2.528697       -8.678517        2.535497 |        8.689105 |   315
40 |        8.476743        3.477928      -10.000000        2.724712 |       10.992470 |   292
41 |        6.563907        1.879055       -8.518946        2.534149 |        9.286091 |   256
42 |        7.328044        2.044027      -10.000000        3.120827 |       13.988347 |   261
43 |        6.246763        2.081201       -8.733900        2.592578 |       10.451769 |   264
