Iteración 0 - Restricción 35: -15.6687*x1 + -37.9796*x2 + -92.0592*x3 + -223.1435*x4 <= w
Iteración 1 - Restricción 35: -13.3146*x1 + -32.2735*x2 + -78.2283*x3 + -189.6185*x4 <= w
Iteración 2 - Restricción 15: -11.4608*x1 + -5.3567*x2 + -2.5037*x3 + -1.1702*x4 <= w
Iteración 3 - Restricción 14: -11.1860*x1 + -4.1340*x2 + -1.5278*x3 + -0.5646*x4 <= w
Iteración 4 - Restricción 12: -10.8391*x1 + -1.8851*x2 + -0.3278*x3 + -0.0570*x4 <= w
Iteración 5 - Restricción 10: -10.4667*x1 + 0.2275*x2 + -0.0049*x3 + 0.0001*x4 <= w
Iteración 6 - Restricción 11: -10.5127*x1 + -0.7999*x2 + -0.0609*x3 + -0.0046*x4 <= w
Iteración 7 - Restricción 9: -10.0955*x1 + 1.2071*x2 + -0.1443*x3 + 0.0173*x4 <= w
Iteración 8 - Restricción 10: -10.1644*x1 + 0.2210*x2 + -0.0048*x3 + 0.0001*x4 <= w
Iteración 9 - Restricción 11: -10.2187*x1 + -0.7775*x2 + -0.0592*x3 + -0.0045*x4 <= w
Iteración 10 - Restricción 10: -9.9643*x1 + 0.2166*x2 + -0.0047*x3 + 0.0001*x4 <= w
Iteración 11 - Restricción 11: -10.0175*x1 + -0.7622*x2 + -0.0580*x3 + -0.0044*x4 <= w
Iteración 12 - Restricción 9: -9.5762*x1 + 1.1450*x2 + -0.1369*x3 + 0.0164*x4 <= w
Iteración 13 - Restricción 10: -9.6619*x1 + 0.2100*x2 + -0.0046*x3 + 0.0001*x4 <= w
Iteración 14 - Restricción 11: -9.7234*x1 + -0.7398*x2 + -0.0563*x3 + -0.0043*x4 <= w
Iteración 15 - Restricción 10: -9.4619*x1 + 0.2057*x2 + -0.0045*x3 + 0.0001*x4 <= w
Iteración 16 - Restricción 11: -9.5223*x1 + -0.7245*x2 + -0.0551*x3 + -0.0042*x4 <= w
Iteración 17 - Restricción 9: -9.0569*x1 + 1.0829*x2 + -0.1295*x3 + 0.0155*x4 <= w
Iteración 18 - Restricción 10: -9.1595*x1 + 0.1991*x2 + -0.0043*x3 + 0.0001*x4 <= w
Iteración 19 - Restricción 11: -9.2282*x1 + -0.7021*x2 + -0.0534*x3 + -0.0041*x4 <= w
Iteración 20 - Restricción 2: 8.8849*x1 + -7.1466*x2 + 5.7483*x3 + -4.6237*x4 <= w
Iteración 21 - Restricción 2: 8.5878*x1 + -6.9075*x2 + 5.5561*x3 + -4.4690*x4 <= w
Iteración 22 - Restricción 7: -8.3986*x1 + 2.6474*x2 + -0.8345*x3 + 0.2631*x4 <= w
Iteración 23 - Restricción 2: 8.5878*x1 + -6.9075*x2 + 5.5561*x3 + -4.4690*x4 <= w
Iteración 24 - Restricción 7: -8.3986*x1 + 2.6474*x2 + -0.8345*x3 + 0.2631*x4 <= w
Iteración 25 - Restricción 2: 8.5878*x1 + -6.9075*x2 + 5.5561*x3 + -4.4690*x4 <= w
Iteración 26 - Restricción 7: -8.3986*x1 + 2.6474*x2 + -0.8345*x3 + 0.2631*x4 <= w
Iteración 27 - Restricción 2: 8.5878*x1 + -6.9075*x2 + 5.5561*x3 + -4.4690*x4 <= w
Iteración 28 - Restricción 7: -8.3986*x1 + 2.6474*x2 + -0.8345*x3 + 0.2631*x4 <= w
Iteración 29 - Restricción 2: 8.5878*x1 + -6.9075*x2 + 5.5561*x3 + -4.4690*x4 <= w
Iteración 30 - Restricción 7: -8.3986*x1 + 2.6474*x2 + -0.8345*x3 + 0.2631*x4 <= w
Iteración 31 - Restricción 2: 8.5878*x1 + -6.9075*x2 + 5.5561*x3 + -4.4690*x4 <= w
Iteración 32 - Restricción 7: -8.3986*x1 + 2.6474*x2 + -0.8345*x3 + 0.2631*x4 <= w
Iteración 33 - Restricción 2: 8.5878*x1 + -6.9075*x2 + 5.5561*x3 + -4.4690*x4 <= w
Iteración 34 - Restricción 7: -8.3986*x1 + 2.6474*x2 + -0.8345*x3 + 0.2631*x4 <= w
Iteración 35 - Restricción 2: 8.5878*x1 + -6.9075*x2 + 5.5561*x3 + -4.4690*x4 <= w
Iteración 36 - Restricción 7: -8.3986*x1 + 2.6474*x2 + -0.8345*x3 + 0.2631*x4 <= w
Iteración 37 - Restricción 2: 8.5878*x1 + -6.9075*x2 + 5.5561*x3 + -4.4690*x4 <= w
Iteración 38 - Restricción 7: -8.3986*x1 + 2.6474*x2 + -0.8345*x3 + 0.2631*x4 <= w
Iteración 39 - Restricción 2: 8.5878*x1 + -6.9075*x2 + 5.5561*x3 + -4.4690*x4 <= w
Iteración 40 - Restricción 7: -8.3986*x1 + 2.6474*x2 + -0.8345*x3 + 0.2631*x4 <= w
Iteración 41 - Restricción 2: 8.5878*x1 + -6.9075*x2 + 5.5561*x3 + -4.4690*x4 <= w
Iteración 42 - Restricción 7: -8.3986*x1 + 2.6474*x2 + -0.8345*x3 + 0.2631*x4 <= w
Iteración 43 - Restricción 2: 8.5878*x1 + -6.9075*x2 + 5.5561*x3 + -4.4690*x4 <= w
Iteración 44 - Restricción 7: -8.3986*x1 + 2.6474*x2 + -0.8345*x3 + 0.2631*x4 <= w
Iteración 45 - Restricción 2: 8.5878*x1 + -6.9075*x2 + 5.5561*x3 + -4.4690*x4 <= w
Iteración 46 - Restricción 7: -8.3986*x1 + 2.6474*x2 + -0.8345*x3 + 0.2631*x4 <= w
Iteración 47 - Restricción 2: 8.5878*x1 + -6.9075*x2 + 5.5561*x3 + -4.4690*x4 <= w
Iteración 48 - Restricción 7: -8.3986*x1 + 2.6474*x2 + -0.8345*x3 + 0.2631*x4 <= w
Iteración 49 - Restricción 2: 8.5878*x1 + -6.9075*x2 + 5.5561*x3 + -4.4690*x4 <= w
