p x1 x2 x3 x4 fobj iters
20 0.1778452377074294 1.6472800182722542 -2.7861228368035307 0.95940244410122 0.00032004373426968737 26
21 0.59923176889538 0.8594546681952518 -2.349286194471948 0.8853255392143725 0.0007686883834754032 28
22 0.3364226639552949 1.4383581122106337 -2.7101580847043065 0.9537988440007478 0.00043862366261894926 25
23 -0.002205393124879562 1.9670582964441548 -2.9572059948435716 0.9882639160494103 0.00030718328279704017 51
24 0.04848605964916334 1.876277573365299 -2.9109819565292194 0.9818964644744484 0.0002183307186930345 42
25 0.11228685729603556 1.7837075274781706 -2.8690598749118834 0.9753355979844179 0.0005045771427595486 53
26 0.013502607570758988 1.9805872396535593 -2.989683499944964 0.9982280831429723 5.5762101510119205e-05 30
27 0.20296420597102982 1.622195350773978 -2.7948122470098666 0.9659145970061929 0.0009199452057111873 47
28 0.10186226379638934 1.8273993142557412 -2.9154030971842517 0.9867320052882833 0.0005101445133061122 45
29 0.16632237337618377 1.7041889779946247 -2.852257282798313 0.9774405174436662 0.0005684861718623821 44
30 0.0033214363753585555 1.9786145073154955 -2.9943985725818845 1.0004423656877603 0.0001401459108050656 39
31 0.004776895839183346 1.992948323270173 -3.000508634487899 1.0001824361606237 0.000169166525663816 47
32 0.004211227147413955 1.9881327738757044 -3.004704255554483 1.002984768419856 0.00021812034758048304 60
33 0.00727838598040862 2.007445411667115 -3.0145370629697568 1.0036315714525992 0.00011151035253069231 91
34 8.633580369073515 -9.214059527889123 0.1379850500291312 0.8708160973326048 2.6119263508789583 120
35 -0.0078455688711885 1.9890857051834665 -2.9852619461068093 0.9972123184753544 0.00023798134049223094 88
36 6.417816864904731 4.000009224763425 -9.417791983647284 2.6019914606571457 6.521360570556006 236
37 7.117014402950726 2.0707008184165474 -8.729177832679483 2.5921203081885955 6.866960821637794 264
38 6.913547556409378 1.6880174290162284 -8.316893455895576 2.4769177991766242 8.048282102426416 218
39 7.1637592033073965 4.197215882490004 -10.0 2.72720462728477 8.395188007283087 364
40 8.521144675635616 4.822172949200467 -10.0 2.5170196868305617 13.358829087718306 262
41 5.985559103489521 2.0778780259252656 -8.49409167442659 2.5259651495738447 9.595296808127083 279
42 8.06421702433491 3.7737404959631875 -10.0 2.674400136847824 13.605857746973864 269
43 6.246819502569347 2.081303242255358 -8.73396990976811 2.5925868947310566 10.451397648370573 231
